num_iterations,measured_var,learning_strategy,num_mutants_per_round,embedding_type,regression_type,first_median_fitness_scaled,first_fitness_binary_percentage,last_median_fitness_scaled,last_fitness_binary_percentage,change_median_fitness_scaled,change_fitness_binary_percentage
2,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.3577946054639867,0.04444444444444444,0.0,0.0
2,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.455849827895437,0.11764705882352941,0.0,0.0
2,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.36752087833245545,0.07878787878787878,0.0,0.0
3,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.47378445251882323,0.17777777777777776,0.1159898470548365,0.1333333333333333
3,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.5432790166899137,0.23529411764705882,0.08742918879447675,0.11764705882352941
3,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.4117095472553177,0.12121212121212122,0.04418866892286227,0.042424242424242434
4,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5049234668741744,0.17777777777777776,0.14712886141018772,0.1333333333333333
4,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.5877990081341327,0.3294117647058824,0.13194918023869567,0.211764705882353
4,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.5582585795670626,0.23030303030303031,0.19073770123460715,0.15151515151515155
5,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5220547487651962,0.2,0.16426014330120947,0.15555555555555556
5,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.593732561140212,0.38823529411764707,0.137882733244775,0.2705882352941177
5,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.5767539323684124,0.27878787878787875,0.209233054035957,0.19999999999999996
6,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5341802454992173,0.2,0.17638564003523055,0.15555555555555556
6,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.609001182101232,0.4352941176470588,0.153151354205795,0.3176470588235294
6,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.6033550071254885,0.3515151515151515,0.23583412879303306,0.2727272727272727
7,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5339575593674286,0.2,0.1761629539034419,0.15555555555555556
7,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.6357976882404823,0.5294117647058824,0.17994786034504534,0.4117647058823529
7,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.6304130491419688,0.4606060606060606,0.2628921708095134,0.3818181818181818
8,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5612887566169121,0.22222222222222224,0.2034941511529254,0.1777777777777778
8,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.6152198928891495,0.6352941176470588,0.15937006499371248,0.5176470588235293
8,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.6419088399443323,0.5212121212121212,0.2743879616118769,0.44242424242424244
9,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.5771708739570615,0.24444444444444446,0.21937626849307473,0.2
9,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.6347767008805286,0.6823529411764706,0.17892687298509163,0.5647058823529412
9,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.654115899166084,0.5454545454545455,0.2865950208336286,0.46666666666666673
10,fitness,top10,8,embeddings,randomforest,0.3577946054639867,0.04444444444444444,0.594801008382694,0.26666666666666666,0.23700640291870728,0.2222222222222222
10,fitness,top10,16,embeddings,randomforest,0.455849827895437,0.11764705882352941,0.6896103963358713,0.7411764705882353,0.2337605684404343,0.6235294117647059
10,fitness,top10,32,embeddings,randomforest,0.36752087833245545,0.07878787878787878,0.6566129517715698,0.6060606060606061,0.2890920734391143,0.5272727272727273
